,Time,Turnover_0,Turnover_1
0,1,0.16129032258064516,0.049212598425196846
1,2,0.2403846153846154,0.1938454082868912
2,3,0.07874015748031496,0.09431737797689224
3,4,0.15467904098994587,0.0
4,5,0.15319800842589046,0.04524886877828054
5,6,0.0,0.044612982377871965
6,7,0.29940119760479045,0.04404316229905307
7,8,0.0,0.0
8,9,0.0,0.04316857327865314
9,10,0.0,0.0
10,11,0.0,0.0
11,12,0.07012622720897616,0.0
12,13,0.06889424733034792,2.3710482529118138
13,14,0.0675219446320054,1.3333333333333335
14,15,0.06637902422834385,0.6206040546131568
15,16,0.0,0.6947282386595832
16,17,0.0,0.606550748079256
17,18,0.0,0.481251253258472
18,19,0.1271860095389507,1.038753495805034
19,20,0.0,0.6369426751592357
20,21,0.0,0.7925500297206262
21,22,0.12484394506866417,0.9099901088031652
22,23,0.0,1.1933174224343674
23,24,0.0,2.001200720432259
24,25,0.12106537530266344,2.140117100747022
25,26,0.17921146953405018,1.7121891561353444
26,27,0.05903187721369539,1.419302514193025
27,28,0.05842827928717499,0.841009211053264
28,29,0.0,0.5154639175257731
29,30,0.05747126436781609,0.7088009450679268
30,31,0.05707762557077625,1.0204081632653061
31,32,0.05667327854916407,0.9426551453260016
32,33,0.16901408450704225,0.6288072312831597
33,34,0.44981726173741915,0.7853917141174162
34,35,0.5068994649394537,0.9467455621301776
35,36,1.3590033975084939,1.1471518987341773
36,37,1.0801591813530413,1.7842981760507532
37,38,0.8508224617129893,1.591723040191007
38,39,0.5056179775280899,1.148287467828153
39,40,0.2772387025228722,0.547945205479452
40,41,0.27427317608337903,0.4633204633204633
41,42,0.3271537622682661,0.3826286588865506
42,43,0.6512890094979646,0.8735282947208508
43,44,0.21545919741448963,0.831758034026465
44,45,0.26852846401718583,0.945179584120983
45,46,0.2140181915462814,0.8323874385168369
46,47,0.47948854555141185,1.4467923091566723
47,48,0.637111760021237,1.4939666730511396
48,49,0.7913479293062516,1.6172506738544474
49,50,0.6816990036706869,1.6637647514025924
50,51,0.3119313750974786,0.5793742757821553
51,52,0.20560267283474687,0.42153669285303697
52,53,0.2549069589599796,0.683371298405467
53,54,0.3043367993913264,0.26465028355387527
54,55,0.6060606060606061,0.9423294383716547
55,56,0.20105554159336514,0.9765258215962441
56,57,0.34930139720558884,0.9009009009009009
57,58,0.24764735017335313,0.5240501590866554
58,59,0.44367759428148884,1.2722170252572498
59,60,0.3929273084479371,1.088384312253706
60,61,0.8786917256529168,1.1627906976744187
61,62,0.7738814993954051,1.4250890680667543
62,63,0.28680688336520077,0.8215085884988798
63,64,0.3305785123966942,0.5897530409141172
64,65,0.04687133817670495,0.4737609329446064
65,66,0.2798507462686567,0.3259688518652662
66,67,0.3242992819087329,0.7208506037123805
67,68,0.23052097740894423,0.8282319049333813
68,69,0.18369690011481057,0.612281649558797
69,70,0.2740351678465403,0.7178750897343862
70,71,0.908471496706791,1.0021474588403723
71,72,0.7687090210264526,1.3918629550321198
72,73,0.9495817318562062,1.1379800853485065
73,74,0.9053870529651425,1.1654600035316969
74,75,0.4042218728946777,0.7337526205450734
75,76,0.17734426956328972,0.4485078488873555
76,77,0.5264312349199386,0.30711482682136154
77,78,0.1738374619730552,0.3386386725364037
78,79,0.6475285991797971,1.008233910267182
79,80,0.299721687004924,0.5332444592567905
80,81,0.3808717731696995,0.5960264900662252
81,82,0.3770423125261835,0.7272727272727273
82,83,1.0447137484329294,0.6593044338223174
83,84,1.086048454469507,1.1822660098522169
84,85,1.0392849719393058,1.5399737876802095
85,86,0.5371900826446281,1.1417387049420975
86,87,0.6545305788504807,0.7782101167315175
87,88,0.24237527772167242,0.5145521788068821
88,89,0.1996805111821086,0.2543720190779014
89,90,0.2779432201707365,0.5680025244556642
90,91,0.593589236248516,0.785052598524101
91,92,0.23557126030624262,0.4991420995164561
92,93,0.5075151278547726,0.7129572225666461
93,94,0.544535200311163,0.4307029687740348
94,95,0.7337323807684881,0.7028265851795263
95,96,0.9158557527189467,1.582471089470481
96,97,0.9785472337222431,1.2073649260488983
97,98,0.8551775422941067,0.9834599910594547
98,99,0.5143277002204262,0.6768687463213655
99,100,0.39992728594800947,0.5235602094240838
100,101,0.4687218316206959,0.48822515795519816
101,102,0.35874439461883406,0.5698005698005698
102,103,0.4996431120628123,0.6516503754072814
103,104,0.31892274982282065,0.4771929824561404
104,105,0.4221635883905013,0.5018820577164366
105,106,0.48925388782107293,0.4990988492998752
106,107,0.5211047420531527,0.8534067446662078
107,108,0.7207825639265488,0.9279475982532752
108,109,0.5754908598510494,1.193058568329718
109,110,1.1409395973154361,0.9967672413793104
110,111,0.6678911337451995,0.8271077908217717
111,112,0.4317502490866822,0.342917436032709
112,113,0.4606020727093272,0.3645833333333333
113,114,0.32663726931242854,0.23228803716608595
114,115,0.6171836933571545,0.6405329233922624
115,116,0.25773195876288657,0.4318557093865108
116,117,0.5439129739241721,0.3529560065548973
117,118,0.6685768863419294,0.475
118,119,0.5382301725502612,0.7935523868567886
119,120,0.9748427672955975,0.9342347879532883
120,121,1.1227194760642445,1.2432959531935641
121,122,0.6790123456790124,0.9694619486185166
122,123,0.42793825462326146,0.600817111271329
123,124,0.5167173252279635,0.6893273116234846
124,125,0.27165710836100215,0.4702562896778745
125,126,0.0899415380002998,0.21003500583430573
126,127,0.5966587112171837,0.8569774174869716
127,128,0.3260225251926497,0.32073310423825885
128,129,0.2356059490502135,0.6815858230148812
129,130,0.35056967572305,0.5872388481084133
130,131,1.3104251601630752,0.9431843700875815
131,132,1.0765202211230724,1.0705921712947475
